der Zeitungsverlag	the newspaper publisher
die	Kьhlwasserpumpe	the cooling water pump
die	Geduld	the patience
die	Ausdauer	the endurance
die	Sprechstunde	the consultation hours
das	Umfeld	the environment
die	Gondel	the gondola
die	Lage	the location
das	Thermalbadr	the thermal bath
der	Heiratsantrag	the marriage proposal
der	Freundeskreis	circle of friends
die	Sorge	the worry
der	Kampf	the fight
das	Gesuch	the application
die	Einleitung	the introduction
die	Reihenfolge	the order
der	Satzbau	the sentence structure
die	Reihenfolge	the order
das	Zelte	the tent
die	Schuld	the debt
der	Unfall	the accident
die	Sitzung	the session
die	Regel	the rule
die	Verbindung	the connection
der	Bart	the beard
der	Planungsfehler	the planning error
das	Wechselgeld	the change
der	Obdachlose	the homeless
die	Wohngemeinschaft	the shared apartment
die	Kьste erreichen	reach the coast
der	Steuerzahler	the taxpayers
die	Aufforderung	the prompt, the request
die	Drohung	the threat
der	Geldbeutel	the wallet, the purse
die	Gegenwart	the present
die	Ausnahme	the exception
die	Folge	the consequence
die	Gleichzeitigkeit	the concurrency
die	Vergangenheit	the past
der	Mehlstaub	the flour dust
die	Allergie	the allergy
der	Gewinne	the profit, win
der	Verluste	the loss
die	Theatervorstellung	the theatrical performance
die	Rьckkehr	the return
der	Fleiя	the diligence
die	Disziplin	the discipline
die	Gehaltserhцhung	the salary boost
die	Probleme halten an	the problems continue
die	Entwicklungsabteilung	the development department
die	Infrastruktur	the infrastructure
der	Frieden	the peace
der	Krieg	the war
der	Beweisee	the proof
der	Richter	the judge
der	Beschuldigte	the accused
die	Dachwohnung	the attic apartment
der	Rohstoffe	the raw material
das	Prдsens	the present tense
das	Futur	the future tense
die	Kьhltruhe	the freezer
das	Vorstellungsgesprдch	job interview
die	Verspдtung	the delay
die	Stellenausschreibung	the vacancy
der	Fьhrerschein	the driverТs license
die	Autobahnmaut	the motorway tolls
die	Fahrradkette	the bicycle chain
der	Antrag	the application
das	Visum	the visa
der	Ratgeber	the advisor
die	Branche	the industry
der	Neulinge	the newcomer
der	Arbeitsablauf	the workflow
die	Grundlage	the base, the basis
das	№bergewicht	overweight
die	Herkunft	origin
der	Kriege	war
die	Flucht	escape, flight
die	Heimat	home country
die	Kunst	art
der	Leistungsunterricht	intensive course
die	Broschьre	brochure
die	Wahrnehmung	perception
die	Darstellung	display
der	Schatten	shadow
der	Kontraste	contrast
der	Ausgleich	balance
die	Bildbearbeitung	image processing
die	Auflцsung	resolution
die	Gestaltung	design, layout
die	Grundlage	basics
der	Artikel	article
die	Struktur	strucutre
der	Zusammenhang	correlation
die	Verarbeitung	prepapration
der	Einsatz	use, usage
der	Blickwinkel	perspective
die	Geburtenrate fдllt	the birth rate drops
das	Partnersuchportal	the dating site
die	Hцchstgeschwindigkeit	the speed limit
das	Fallschirmspringen	the parachute jumping
der	Moderator	the moderator
der	Spielerkader	the player roster
die	Meisterschaft	the championship
der	Stьrmer	the striker
die	Tatsache	the fact
der	Vereine	the club, the association
der	Nachwuchsspier	the young player
der	Ersatzspieler	the replacement players
die	Defensive	the defensive
die	Systemumstellung	the system conversion
das	Fernstudium	the distance learning
das	Kerosin	the kerosene
das	Bahngleise	the railroad track
die	Gewerbesteuer	the trade tax
der	Subjunktor	the subjunction
der	Zustand	the state
die	Gegenwart	the present
der	Zeitpunkt	the time, the moment
der	Vertrieb	the sales
der	Vorgesetzte	the superior
die	Versetzung	the transfer
die	Verbesserung	the improvement
die	Absprache	the agreement
der	Fehltritt	the misstep
der	Vertrag	the contract
die	Verwaltung	the administration
die	Beziehung (partner- schaftliches Verhдltnis)	the relationship
der	Vorgang	the operation
der	Gegensatz	the contrast
das	Taschengeld	the pocket money
die	Handlung	the action
die	Abreise	departure
die	Anreise	arrival
der	Ausflug	the trip
die	Werkstattn	the workshop
die	Leistung	the performance
der	Termin steht	the date is fix
die	Sitzung	session
die	Pubertдt	puberty
die	Sorge	sprrow
dir Anschlusszug	connecting train
die	gegebene Situation	the given situation
das	Verhдltnis	the ratio
die	Belegschaft	the workforce
der	Aggressor	the aggressor
die	Belastung	the load
die	Gleitzeit	the flexitime
die	Fluktuation	the fluctuation
die	Effizienz	the efficiency
die	Zulage	the allowance
die	Vereinbarkeit	the compatibility
der	Umstand	the fact
der	Ausgleich	the compensation
die	Rate	the rate
die	Quote	the rate
die	Voraussetzung	the condition
die	Betreuung	the care
die	Regeneration	the regeneration
die	Bedingung	the condition
die	Vermutung дuяern	venture a guess
das	Verhalten	the behavior
die	Rennstrecke	the race track
der	Kirschbaum	the cherry tree
die	Nacht durchmachen	pull an all-nighter
die	Bevцlkerung	the population
die	Ernte	the harvest
die	Wirtschaft	the economy
das	Gefдngnisse	the prison
der	Anwalt	the lawyer
der	Makler	the broker
die	Immobilie	the real estate
die	Drohung	the threat
die	Haushaltshilfe	the household help
die	Kreuzung	the crossing
der	Bьrgermeister	the mayor
der	Gesprдchsanlass	the occasion for talking
der	Stadtrat	the city council
die	Abschiedsrede	the farewell speech
die	Autobahnanbindung	the freeway access
der	Feinstaub	the fine dust
der	Grenzwerte	the limit
der	Grьngьrtel	the green belt
der	Lдrm	the noise
die	Belastung	the burden
die	Hochschule	the college
die	Geisteswissenschaften	the humanities
das	Anliegen	the concern
die	Feuerwehr	the fire brigade
die	Neuausrichtung	the realignment
die	Investition	the investment
das	Wasserwerke	the waterworks
die	Ringstraяe	the circular road
die	Neuausstattung	the new equipment
das	Gewerbegebiete	the industrial area
der	Hafen	the port
der	Verkehr	the traffic
der	Schmutzpartikel	the dirt particles
die	Niederlassung	the branch
die	Zweigstelle	the branch
das	Gewerbe	the industry
der	Bьrger	the citizen
die	Regierung	the government
der	Zustand	the state
die	Handlung	the action
der	Zwecke	the purpose
die	DNA	the DNA
die	Spur	the track
die	Analyse	the analysis
der	Mцrder	the murderer
der	Einbrecher	the burglar
der	Beweise	the proof
der	Weizen	the wheat
die	Bьroeinrichtung	the office equipment
den Inhalt wiedergeben	describe the content
der	ьberwiegende Teil	the vast majority
der	Indikativ	the indicative
die	Wдhrungskrise	the currency crisis
die	Steuerlast tragen	burden the tax load
die	Rettung	the rescue
der	Richter	the judge
das	Urteile	the ruling
die	Geburtenrate	the birth rate
die	Elternschaft	the parenthood
der	Wohlstand	the prosperity
die	Unterstьtzung	the support
der	Antrag	the application
der	Rettungswagen	the ambulance
das	Erdbeben	the earthquake
das	Gefдngnisse	the prison
die	Haftstrafe	the prison sentence
die	Sucht	the addiction
der	Aufwand	the effort
der	Sinn	the sense
die	Wirkung	the effect
der	Grundsatz	the principle
der	Zusatz	the addition
das	Gesetze	the law
der	Eindruck	the impression
die	Gegenwart	the present
der	Rьckgang	decline, reduction
die	Spitze	pole position
das	Schlusslicht	to be bottom of the table
die	Zunahme	increase
der	Anteil	share, portion
die	Bedienungsanleitung	the operating instructions
der	Finanzvorstand	the finance executive committee
die	Prдsentation erstellen	create a presentation
die	Unterseite	the bottom
der	÷ltanks	the oil tank
der	Tresor	the safe
der	Rдuber	the robber
der	Tдter	the perpetrator
das	Diebesgut	the stolen goods
der	Abnehmer	the customer
der	Zeuge	the witness
das	Fahndungsfotos	the photo of a wanted person
der	Ganove	the crook
das	Kunstwerke	the work of art
der	Informant	the informant
das	Einbruchswerkzeug	the burglary tool
die	Meute	the mob
die	Jagd	the hunting
der	Maulkorb	the muzzle
der	Dackel	the dachshund
das	Rudel	the pack, the herd
der	Zugang	the access
das	Tore	the goal
der	Bach	the brook
der	Landschaftspark	the landscape park
das	Schultergelenke	the shoulder joint
die	Offenheit	the openness
der	Verlage	the publishing house
die	Leidenschaft	the passion
der	Zwinger	the kennel
die	Einstellung	the attitude
der	Bergaufstieg	the mountain ascent
der	Staatsanwalt	the public prosecutor
die	Verteidigung	the defense
der	Fingerabdruck	the fingerprint
der	Beschuldigte	the accused
der	Angeklagte	the defendant
die	Kooperation	the cooperation
der	Regierungssprecher	the government spokesman
die	Mitteilung	the report
die	Schцntuerei	flattery
der	Vorwurf	accusation
die	Waffe	weapon
der	Patzer	goof, blunder
der	Bitterstoffe	bitter principle
der	Misserfolge	the failure
der	Aufschub	the delay
das	Prдsidentenamt	the presidential office
die	Auffьhrung	the performance
die	Kundenakquise	the customer acquisition
der	Flьchtlinge	the fugitive
das	Notwendigste	the essentials
der	Kontrollanrufe	the control call
der	Passant	the passer-by
der	Kдlteeinbruch	the cold snap
der	Einbruch	the burglary
die	Schlagfertigkeit	the repartee
der	Gesundheitszustand	the state of health
das	Gerьchte	the rumor
der	Forscher	the researcher
die	Drohung	the threat
die	Konkurrenz	the competition
der	Straftдter	the offender
der	Winterreifen	the winter tires
die	Meckerei	the nagging
das	Vermцgen	the assets
der	Vertriebsleiter	the sales director
das	Umfeld	the environment
der	Vertragsinhalte	the subject terms of contract
die	Eisenbahn- Schnellfahrtstrecke	the quick drive railway
die	Nachfrage	the demand
die	Eigenschaft	the characteristic, the property
die	Kompetenz	the competence
der	Vorgesetze	the superior
der	Rahmen	the framework
der	Wandel	the change
der	Rechtsspruch	the judgment
die	Bewertung	the assessment, the evaluation
die	Zuversicht	the confidence
die	Ausstattung	equipment
die	Bewilligung	permission
die	Biogasanlage	biogas plant
die	Funktionsweise	function, method
die	Gьlle	manure
der	Mist	waste
der	Kompost	compost
der	Vorgang	procedure
der	Nдhrstoffe	nutrients
die	Biomasse	biomass
die	Grube	pit
die	Fermentierung	fermentation
das	Substrat	substrate
der	Gehalt	amount, volume
das	Stromkraftwerk	electrical power plant
der	Gemeinderat	city council
der	Zugang	access
die	Haube	cover
die	Vergдrung	fermentation
die	Stromleistung	electrical power plant
die	Weltgemeinschaft	international community
das	Korallenriffe	coral reef
der	Bestandteile	component, part
das	Immunsystem	immune system
die	Ursache ausmachen	to find the cause
die	Alge	algae
die	Spur	trace
die	Infektion	infection
die	Bewдhrungsprobe	practical test
der	Schadstoffe	contaminant, toxin
der	Bestand	population, stock
die	Richtlinie	regulation, stipulation
